"Frequency / Hz","Vm1:Measured voltage"
11450,7.559137483018451e-07
11500,3.1484699736556594e-11
11550,7.6325994246893895e-07
11600,3.2811635293956145e-11
11650,7.7162902636110147e-07
11700,3.1067559602039869e-11
11750,7.8088789516032146e-07
11800,3.0516195200867237e-11
11850,7.9117517851544517e-07
11900,3.2074268952186848e-11
11950,8.0258013024731115e-07
12000,2.969844903365029e-11
12050,8.1497986335419957e-07
12100,3.0070277673307096e-11
12150,8.2852852016028108e-07
12200,3.1534020952507362e-11
12250,8.4332099613903937e-07
12300,2.8756360914150164e-11
12350,8.5925704653270274e-07
12400,2.9737379772224889e-11
12450,8.7650053565509012e-07
12500,3.0407721102106785e-11
12550,8.9515882631154089e-07
12600,2.8087742911660535e-11
12650,9.1515383851399271e-07
12700,2.9035689898273313e-11
12750,9.3666613978249915e-07
12800,3.0155703788606948e-11
12850,9.5982159839331562e-07
12900,2.7057915782926298e-11
12950,9.8456642979728156e-07
13000,2.8984489378403429e-11
13050,1.011103660133105e-06
13100,2.908352506665932e-11
13150,1.0395842884936889e-06
13200,2.7554807023392145e-11
13250,1.0699844831664984e-06
13300,2.8149966080170966e-11
13350,1.1025397632921611e-06
13400,2.7062463010257212e-11
13450,1.1374313001130909e-06
13500,2.5983129235315763e-11
13550,1.1746776330611099e-06
13600,2.769097607611194e-11
13650,1.214556033476545e-06
13700,2.6588992192548727e-11
13750,1.2572896466102469e-06
13800,2.5925136445611096e-11
13850,1.3029554147352209e-06
13900,2.7788630825782467e-11
13950,1.3518854223526018e-06
14000,2.6039253474418916e-11
14050,1.4043646019008679e-06
14100,2.5619623276989865e-11
14150,1.4605462889608992e-06
14200,2.7370034146526052e-11
14250,1.5208391477360775e-06
14300,2.5273407680299753e-11
14350,1.5856187969165323e-06
14400,2.4961837685195019e-11
14450,1.6551391154779946e-06
14500,2.5864906032043843e-11
14550,1.7299267653960378e-06
14600,2.4736170057033566e-11
14650,1.8104777180150803e-06
14700,2.4895903154934331e-11
14750,1.8971978558435093e-06
14800,2.5935865992996118e-11
14850,1.9907756647135697e-06
14900,2.3587133655642083e-11
14950,2.0918935537800611e-06
15000,2.4736541287109796e-11
15050,2.2011722251173333e-06
15100,2.4859339676797524e-11
15150,2.3195454112575337e-06
15200,2.3380648521978041e-11
15250,2.4479696237352976e-06
15300,2.4244562000202338e-11
15350,2.5873907283961936e-06
15400,2.4195031815633629e-11
15450,2.7391097379952838e-06
15500,2.3077732594831901e-11
15550,2.9045102748529995e-06
15600,2.3697598188820308e-11
15650,3.0850344903417465e-06
15700,2.4364836029282181e-11
15750,3.2825588984746941e-06
15800,2.2841943644557469e-11
15850,3.4991384183832586e-06
15900,2.3732416046017977e-11
15950,3.7370053432071635e-06
16000,2.2297747488113358e-11
16050,3.9989616343311616e-06
16100,2.144536873108061e-11
16150,4.2881556176379472e-06
16200,2.3241462556943142e-11
16250,4.6081188061683408e-06
16300,2.3094980286329409e-11
16350,4.9631987853006276e-06
16400,2.1706844315636695e-11
16450,5.3583891999670191e-06
16500,2.1956510570003364e-11
16550,5.7994497337411172e-06
16600,2.2219193136771524e-11
16650,6.2934120716125827e-06
16700,2.1907461748623641e-11
16750,6.8485321592271345e-06
16800,2.2212673642228784e-11
