time	V(gate)	V(n002)
6.062142857143249e-008	7.156074e+000	1.000000e+001
6.207857142857546e-008	7.256416e+000	1.000000e+001
6.353571428571843e-008	7.353184e+000	1.000000e+001
6.499285714286139e-008	7.446376e+000	1.000000e+001
6.645000000000436e-008	7.535994e+000	1.000000e+001
6.890714285714740e-008	7.679408e+000	1.000000e+001
7.136428571429045e-008	7.815510e+000	1.000000e+001
7.382142857143348e-008	7.944299e+000	1.000000e+001
7.627857142857653e-008	8.065776e+000	1.000000e+001
7.873571428571957e-008	8.179940e+000	1.000000e+001
8.119285714286262e-008	8.286792e+000	1.000000e+001
8.365000000000565e-008	8.386332e+000	1.000000e+001
8.622142857143441e-008	8.484461e+000	1.000000e+001
8.879285714286318e-008	8.577388e+000	1.000000e+001
9.136428571429195e-008	8.665111e+000	1.000000e+001
9.393571428572071e-008	8.747631e+000	1.000000e+001
9.650714285714948e-008	8.824948e+000	1.000000e+001
9.907857142857824e-008	8.897062e+000	1.000000e+001
1.016500000000070e-007	8.963972e+000	1.000000e+001
1.017500000000070e-007	8.966520e+000	1.000000e+001
1.054642857142930e-007	9.055331e+000	1.000000e+001
1.091785714285790e-007	9.137806e+000	1.000000e+001
1.128928571428650e-007	9.213944e+000	1.000000e+001
1.166071428571510e-007	9.283747e+000	1.000000e+001
1.203214285714370e-007	9.347213e+000	1.000000e+001
1.240357142857230e-007	9.404343e+000	1.000000e+001
1.277500000000090e-007	9.455137e+000	1.000000e+001
1.314642857142950e-007	9.501963e+000	1.000000e+001
1.351785714285810e-007	9.545448e+000	1.000000e+001
1.388928571428669e-007	9.585592e+000	1.000000e+001
1.426071428571529e-007	9.622395e+000	1.000000e+001
1.463214285714389e-007	9.655856e+000	1.000000e+001
1.500357142857249e-007	9.685976e+000	1.000000e+001
1.537500000000109e-007	9.712755e+000	1.000000e+001
1.574642857142969e-007	9.737442e+000	1.000000e+001
1.611785714285829e-007	9.760368e+000	1.000000e+001
1.648928571428689e-007	9.781532e+000	1.000000e+001
1.686071428571549e-007	9.800934e+000	1.000000e+001
1.723214285714409e-007	9.818575e+000	1.000000e+001
1.760357142857269e-007	9.834454e+000	1.000000e+001
1.797500000000129e-007	9.848572e+000	1.000000e+001
1.832214285714417e-007	9.860795e+000	1.000000e+001
1.866928571428705e-007	9.872190e+000	1.000000e+001
1.901642857142994e-007	9.882759e+000	1.000000e+001
1.936357142857282e-007	9.892500e+000	1.000000e+001
1.971071428571570e-007	9.901413e+000	1.000000e+001
2.005785714285859e-007	9.909500e+000	1.000000e+001
2.040500000000147e-007	9.916759e+000	1.000000e+001
2.041500000000147e-007	9.916964e+000	1.000000e+001
2.078642857143007e-007	9.924100e+000	1.000000e+001
2.115785714285867e-007	9.930727e+000	1.000000e+001
2.152928571428727e-007	9.936845e+000	1.000000e+001
2.190071428571587e-007	9.942454e+000	1.000000e+001
2.227214285714447e-007	9.947554e+000	1.000000e+001
2.264357142857307e-007	9.952144e+000	1.000000e+001
2.301500000000167e-007	9.956225e+000	1.000000e+001
2.338642857143027e-007	9.959988e+000	1.000000e+001
2.375785714285887e-007	9.963481e+000	1.000000e+001
2.412928571428747e-007	9.966707e+000	1.000000e+001
2.450071428571607e-007	9.969664e+000	1.000000e+001
2.487214285714466e-007	9.972352e+000	1.000000e+001
2.524357142857326e-007	9.974772e+000	1.000000e+001
2.561500000000186e-007	9.976924e+000	1.000000e+001
2.598642857143046e-007	9.978907e+000	1.000000e+001
2.635785714285906e-007	9.980749e+000	1.000000e+001
2.672928571428766e-007	9.982449e+000	1.000000e+001
2.710071428571626e-007	9.984008e+000	1.000000e+001
2.747214285714486e-007	9.985425e+000	1.000000e+001
2.784357142857346e-007	9.986701e+000	1.000000e+001
2.821500000000206e-007	9.987835e+000	1.000000e+001
2.856214285714494e-007	9.988817e+000	1.000000e+001
2.890928571428783e-007	9.989732e+000	1.000000e+001
2.925642857143071e-007	9.990582e+000	1.000000e+001
2.960357142857359e-007	9.991364e+000	1.000000e+001
2.995071428571648e-007	9.992080e+000	1.000000e+001
3.029785714285936e-007	9.992730e+000	1.000000e+001
3.064500000000224e-007	9.993313e+000	1.000000e+001
3.065500000000224e-007	9.993329e+000	1.000000e+001
3.102642857143084e-007	9.993903e+000	1.000000e+001
3.139785714285944e-007	9.994435e+000	1.000000e+001
3.176928571428804e-007	9.994927e+000	1.000000e+001
3.214071428571664e-007	9.995377e+000	1.000000e+001
3.251214285714524e-007	9.995787e+000	1.000000e+001
3.288357142857384e-007	9.996156e+000	1.000000e+001
3.325500000000244e-007	9.996484e+000	1.000000e+001
3.362642857143104e-007	9.996786e+000	1.000000e+001
3.399785714285964e-007	9.997067e+000	1.000000e+001
