"Time","3ph Meter:Measured voltage:1","3ph Meter:Measured voltage:2","3ph Meter:Measured voltage:3"
0.0010313674782944501,-100,100,0
0.0010382032694044212,-100,100,0
0.0010382032694044511,0,0,0
0.0010499999999999702,0,0,0
0.0010500000000000002,0,0,0
0.0010619089733181692,0,0,0
0.0010619089733182004,-100,100,0
0.0010684123099457148,-100,100,0
0.0010684123099457461,0,100,-100
0.0010946779630515865,0,100,-100
0.0010946779630516177,0,0,0
0.0010999999999999688,0,0,0
0.0011000000000000001,0,0,0
0.0011053102067993673,0,0,0
0.0011053102067993998,0,100,-100
0.0011319633724418143,0,100,-100
0.0011319633724418468,-100,100,0
0.0011377271957488677,-100,100,0
0.0011377271957489002,0,0,0
0.0011499999999999672,0,0,0
0.00115,0,0,0
0.0011623927341230249,0,0,0
0.0011623927341230592,-100,100,0
0.0011678258419260817,-100,100,0
0.001167825841926116,0,100,-100
