time	V(gate)	V(n002)
1.290086345320140e-006	1.059031e+001	1.000000e+001
1.309617595320140e-006	1.058994e+001	1.000000e+001
1.329148845320140e-006	1.058956e+001	1.000000e+001
1.348680095320140e-006	1.058917e+001	1.000000e+001
1.368211345320140e-006	1.058878e+001	1.000000e+001
1.387742595320140e-006	1.058838e+001	1.000000e+001
1.407273845320140e-006	1.058798e+001	1.000000e+001
1.426805095320140e-006	1.058758e+001	1.000000e+001
1.446336345320140e-006	1.058718e+001	1.000000e+001
1.465867595320140e-006	1.058678e+001	1.000000e+001
1.485398845320140e-006	1.058638e+001	1.000000e+001
1.504930095320140e-006	1.058599e+001	1.000000e+001
1.524461345320140e-006	1.058559e+001	1.000000e+001
1.543992595320140e-006	1.058521e+001	1.000000e+001
1.563523845320140e-006	1.058482e+001	1.000000e+001
1.583055095320140e-006	1.058444e+001	1.000000e+001
1.602586345320140e-006	1.058406e+001	1.000000e+001
1.622117595320140e-006	1.058369e+001	1.000000e+001
1.641648845320140e-006	1.058332e+001	1.000000e+001
1.661180095320140e-006	1.058295e+001	1.000000e+001
1.680711345320140e-006	1.058259e+001	1.000000e+001
1.719773845320140e-006	1.058188e+001	1.000000e+001
1.758836345320140e-006	1.058119e+001	1.000000e+001
1.817430095320140e-006	1.058018e+001	1.000000e+001
1.867653309605854e-006	1.057934e+001	1.000000e+001
1.917876523891569e-006	1.057852e+001	1.000000e+001
1.968099738177283e-006	1.057772e+001	1.000000e+001
2.018322952462997e-006	1.057694e+001	1.000000e+001
2.068546166748712e-006	1.057619e+001	1.000000e+001
2.118769381034426e-006	1.057545e+001	1.000000e+001
2.168992595320140e-006	1.057473e+001	1.000000e+001
2.266648845320140e-006	1.057340e+001	1.000000e+001
2.364305095320140e-006	1.057211e+001	1.000000e+001
2.461961345320141e-006	1.057087e+001	1.000000e+001
2.559617595320140e-006	1.056967e+001	1.000000e+001
2.657273845320140e-006	1.056853e+001	1.000000e+001
2.754930095320140e-006	1.056744e+001	1.000000e+001
2.852586345320140e-006	1.056640e+001	1.000000e+001
3.011626523891569e-006	1.056478e+001	1.000000e+001
3.170666702462998e-006	1.056323e+001	1.000000e+001
3.329706881034426e-006	1.056175e+001	1.000000e+001
3.488747059605855e-006	1.056035e+001	1.000000e+001
3.647787238177283e-006	1.055901e+001	1.000000e+001
3.806827416748712e-006	1.055774e+001	1.000000e+001
3.965867595320140e-006	1.055655e+001	1.000000e+001
4.108166702462997e-006	1.055551e+001	1.000000e+001
4.250465809605855e-006	1.055451e+001	1.000000e+001
4.392764916748712e-006	1.055354e+001	1.000000e+001
4.535064023891569e-006	1.055260e+001	1.000000e+001
4.677363131034427e-006	1.055169e+001	1.000000e+001
4.819662238177283e-006	1.055081e+001	1.000000e+001
4.961961345320140e-006	1.054997e+001	1.000000e+001
4.981492595320140e-006	1.054985e+001	1.000000e+001
4.990468750000000e-006	1.054980e+001	1.000000e+001
4.992047690640281e-006	1.054979e+001	1.000000e+001
4.995205571920840e-006	1.054977e+001	1.000000e+001
5.001521334481961e-006	1.054974e+001	1.000000e+001
5.010000000000000e-006	1.054964e+001	1.000000e+001
5.010046452866880e-006	1.054906e+001	9.953547e+000
5.010139358600640e-006	1.054770e+001	9.860641e+000
5.010325170068160e-006	1.054477e+001	9.674829e+000
5.010561576324899e-006	1.054088e+001	9.438424e+000
5.011034388838379e-006	1.053267e+001	8.965611e+000
5.011566951850611e-006	1.052269e+001	8.433048e+000
5.012436623026979e-006	1.050471e+001	7.563377e+000
5.013611573613962e-006	1.047685e+001	6.388426e+000
5.015961474787927e-006	1.040897e+001	4.038525e+000
5.020000000000000e-006	1.027361e+001	0.000000e+000
5.020403852521208e-006	1.026366e+001	0.000000e+000
5.021211557563622e-006	1.024403e+001	0.000000e+000
5.022826967648451e-006	1.020500e+001	0.000000e+000
5.024475391130654e-006	1.016512e+001	0.000000e+000
5.026909465158006e-006	1.010607e+001	0.000000e+000
5.031777613212708e-006	9.987430e+000	0.000000e+000
5.040421131845906e-006	9.775232e+000	0.000000e+000
5.057708169112301e-006	9.346872e+000	0.000000e+000
5.077239419112301e-006	8.858515e+000	0.000000e+000
5.096770669112301e-006	8.366902e+000	0.000000e+000
5.116301919112301e-006	7.874172e+000	0.000000e+000
5.135833169112301e-006	7.382543e+000	0.000000e+000
5.155364419112301e-006	6.894095e+000	0.000000e+000
5.174895669112300e-006	6.410772e+000	0.000000e+000
5.194426919112300e-006	5.934381e+000	0.000000e+000
5.213958169112300e-006	5.466605e+000	0.000000e+000
5.233489419112300e-006	5.008301e+000	0.000000e+000
5.248206732963810e-006	4.670026e+000	0.000000e+000
5.258203103356846e-006	4.444654e+000	0.000000e+000
5.265372625673629e-006	4.285727e+000	0.000000e+000
5.270822987162508e-006	4.166850e+000	0.000000e+000
5.275237458179472e-006	4.072344e+000	0.000000e+000
5.278938103210513e-006	3.995112e+000	0.000000e+000
5.282096326442113e-006	3.931726e+000	0.000000e+000
5.284682534424108e-006	3.883067e+000	0.000000e+000
5.286676610781381e-006	3.850024e+000	0.000000e+000
5.288813174435498e-006	3.821485e+000	0.000000e+000
