time	V(gate)	V(n002)
5.117799356806758e-006	3.245261e+000	0.000000e+000
5.121195926233689e-006	3.123201e+000	0.000000e+000
5.127989065087552e-006	2.898064e+000	0.000000e+000
5.141575342795280e-006	2.499836e+000	0.000000e+000
5.158269251613329e-006	2.087868e+000	0.000000e+000
5.177800501613329e-006	1.691171e+000	0.000000e+000
5.197331751613328e-006	1.339312e+000	0.000000e+000
5.210172261609739e-006	1.099582e+000	0.000000e+000
5.222682641101380e-006	8.418890e-001	0.000000e+000
5.235245418277396e-006	5.770937e-001	0.000000e+000
5.249704131551516e-006	2.944687e-001	0.000000e+000
5.260401587406514e-006	1.237033e-001	0.000000e+000
5.266277830221261e-006	6.571157e-002	0.000000e+000
5.271059426398237e-006	4.515010e-002	0.000000e+000
5.275107402880766e-006	3.809557e-002	0.000000e+000
5.278639675872904e-006	3.520826e-002	0.000000e+000
5.282721148438977e-006	3.334377e-002	0.000000e+000
5.287509730722332e-006	3.196092e-002	0.000000e+000
5.294182132413278e-006	3.060954e-002	0.000000e+000
5.302397708308196e-006	2.935109e-002	0.000000e+000
5.315556143781700e-006	2.781911e-002	0.000000e+000
5.334302420470444e-006	2.628148e-002	0.000000e+000
5.353833670470444e-006	2.534740e-002	0.000000e+000
5.373364920470444e-006	2.503541e-002	0.000000e+000
5.392896170470443e-006	2.525973e-002	0.000000e+000
5.412427420470443e-006	2.596125e-002	0.000000e+000
5.431958670470443e-006	2.711391e-002	0.000000e+000
5.451489920470443e-006	2.872855e-002	0.000000e+000
5.471021170470443e-006	3.085460e-002	0.000000e+000
5.490552420470443e-006	3.359390e-002	0.000000e+000
5.510083670470443e-006	3.711798e-002	0.000000e+000
5.529614920470443e-006	4.171168e-002	0.000000e+000
5.549146170470443e-006	4.783795e-002	0.000000e+000
5.568677420470443e-006	5.625497e-002	0.000000e+000
5.588208670470443e-006	6.813499e-002	0.000000e+000
5.607739920470443e-006	8.501390e-002	0.000000e+000
5.627271170470444e-006	1.082830e-001	0.000000e+000
5.646802420470444e-006	1.382988e-001	0.000000e+000
5.666333670470444e-006	1.739526e-001	0.000000e+000
5.685864920470444e-006	2.131511e-001	0.000000e+000
5.705396170470443e-006	2.536944e-001	0.000000e+000
5.724927420470443e-006	2.938259e-001	0.000000e+000
5.744458670470443e-006	3.323398e-001	0.000000e+000
5.763989920470443e-006	3.684870e-001	0.000000e+000
5.783521170470443e-006	4.018513e-001	0.000000e+000
5.803052420470443e-006	4.322482e-001	0.000000e+000
5.822583670470443e-006	4.596503e-001	0.000000e+000
5.842114920470443e-006	4.841332e-001	0.000000e+000
5.861646170470443e-006	5.058379e-001	0.000000e+000
5.881177420470443e-006	5.249437e-001	0.000000e+000
5.900708670470443e-006	5.416500e-001	0.000000e+000
5.920239920470443e-006	5.561631e-001	0.000000e+000
5.939771170470444e-006	5.686880e-001	0.000000e+000
5.959302420470444e-006	5.794227e-001	0.000000e+000
5.978833670470444e-006	5.885547e-001	0.000000e+000
5.998364920470444e-006	5.962592e-001	0.000000e+000
6.017896170470444e-006	6.026980e-001	0.000000e+000
6.037427420470443e-006	6.080193e-001	0.000000e+000
6.056958670470443e-006	6.123579e-001	0.000000e+000
6.076489920470443e-006	6.158359e-001	0.000000e+000
6.096021170470443e-006	6.185634e-001	0.000000e+000
6.115552420470443e-006	6.206391e-001	0.000000e+000
6.135083670470443e-006	6.221513e-001	0.000000e+000
6.154614920470443e-006	6.231788e-001	0.000000e+000
6.174146170470443e-006	6.237917e-001	0.000000e+000
6.193677420470443e-006	6.240518e-001	0.000000e+000
6.213208670470443e-006	6.240140e-001	0.000000e+000
6.232739920470443e-006	6.237262e-001	0.000000e+000
6.252271170470443e-006	6.232306e-001	0.000000e+000
